config,row_id,source_de,reference_en,prediction_en,status,error,block_size,num_steps,use_cache,seconds,tokens_per_second,generated_tokens,bigram_repetition
E2D2 small_b2_s2_cache,0,Gutach: Noch mehr Sicherheit für Fußgänger,Gutach: Increased safety for pedestrians,Well,ok,,2,2,True,0.15783821000002263,12.671202999576042,2.0,0.0
E2D2 small_b2_s2_cache,1,Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.,"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",...,ok,,2,2,True,0.12383921499997541,16.14997317287902,2.0,0.5
E2D2 small_b2_s2_cache,2,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?,Two sets of lights so close to one another: intentional or just a silly error?,...,ok,,2,2,True,0.15115851400003066,13.231143566280323,2.0,0.5
E2D2 small_b2_s2_cache,3,Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.,"Yesterday, Gutacht's Mayor gave a clear answer to this question.",.,ok,,2,2,True,0.10868100799996228,18.402479299793523,2.0,0.0
E2D2 small_b2_s2_cache,4,"""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern.","""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.",""".",ok,,2,2,True,0.10499261400002524,19.048959005816535,2.0,0.0
E2D2 small_b2_s2_cache,5,Die Kluser-Ampel sichere sowohl Radfahrer als auch Busfahrgäste und die Bergle-Bewohner.,"The Kluser lights protect cyclists, as well as those travelling by bus and the residents of Bergle.",.,ok,,2,2,True,0.1008578140000509,19.82989637271923,2.0,0.0
E2D2 small_b2_s2_cache,6,Die gestern offiziell in Betrieb genommene Anlage sei wichtig für den Kreuzungsbereich Sulzbachweg/Kirchstraße.,"The system, which officially became operational yesterday, is of importance to the Sulzbachweg/Kirchstrasse junction.",.,ok,,2,2,True,0.09463020299995151,21.13490129574196,2.0,0.0
E2D2 small_b2_s2_cache,7,"Wir haben das Museum, zwei Kirchen, Kurpark, die Bushaltestelle, einen Arzt und eine Bank sowie den Verkehrsfluss aus dem Wohngebiet ›Grub‹.","We have the museum, two churches, the spa gardens, the bus stop, a doctor's practice and a bank, not to mention the traffic from the 'Grub' residential area.",.,ok,,2,2,True,0.11562261999995371,17.297653348460713,2.0,0.0
E2D2 small_b2_s2_cache,8,"""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert.","""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert.",""".",ok,,2,2,True,0.08804739899994729,22.715037840029748,2.0,0.0
E2D2 small_b2_s2_cache,9,Dies bestätigt auch Peter Arnold vom Landratsamt Offenburg.,This was also confirmed by Peter Arnold from the Offenburg District Office.,.,ok,,2,2,True,0.08458548400005839,23.644718992192793,2.0,0.0
E2D2 small_b2_s2_cache,10,"""Laut aktuellen Messungen durchfahren auf der B 33 täglich etwa 12 000 Fahrzeuge die Gemeinde Gutach, davon sind etwa zehn Prozent Schwerlastverkehr"", betont Arnold.","""According to current measurements, around 12,000 vehicles travel through the town of Gutach on the B33 on a daily basis, of which heavy goods traffic accounts for around ten per cent,"" emphasised Arnold.",""".",ok,,2,2,True,0.08602009599997018,23.250380934249286,2.0,0.0
E2D2 small_b2_s2_cache,11,"Daher sei der Bau einer weiteren Ampel mehr als notwendig: ""Sicherheit geht hier einfach vor"", so Arnold.","Therefore the construction of an additional set of lights was more than necessary: ""Here safety comes first, it's that simple,"" said Arnold.",.,ok,,2,2,True,0.0871648140000616,22.94503834997671,2.0,0.0
E2D2 small_b2_s2_cache,12,"Insgesamt seien vier Verkehrsschauen durchgeführt worden, auch ein Kreisverkehr wurde angedacht, allerdings wegen der Enge in dem Kreuzungsbereich Sulzbachweg/Kirchstraße wieder verworfen.","A total of four road safety inspections were carried out and a roundabout was also considered, however, this idea was rejected on account of the narrowness of the Sulzbachweg/Kirchstrasse junctions.",.,ok,,2,2,True,0.10103239400007169,19.795631092326495,2.0,0.0
E2D2 small_b2_s2_cache,13,"Es wurde laut Arnold bei der Standortwahl der Ampelmasten zuvor alles ausgetestet: ""Mittels eines extra für uns mit besonders langen Holzstämmen beladener Transporter haben wir ausgestestet, ob diese Fahrzeuge aus dem Sulzbachweg auf die B 33 ausfahren können, ohne den Ampelmasten umzuknicken"".","According to Arnold, every possible test was carried out prior to the selection of the location for the traffic light posts: ""Using a goods vehicle loaded with particularly long tree trunks, we also tested whether such vehicles could access the B 33 from the Sulzbachweg without knocking over the traffic light posts"".",""".",ok,,2,2,True,0.11978746500005855,16.69623779081578,2.0,0.0
E2D2 small_b2_s2_cache,14,"Die rund 15 000 Euro teure Ampelanlage selbst ist das ""modernste, was es derzeit auf dem Markt gibt"", erläuterte Arnold.","The traffic light system itself, which cost around EUR 15,000, is the ""most modern system that is currently available on the market,"" explained Arnold.",.,ok,,2,2,True,0.11053296500006127,18.09414955980681,2.0,0.0
E2D2 small_b2_s2_cache,15,"Die Anlage ist mit farbigen LEDs ausgestattet, die so kräftig leuchten, dass die Lichter von den Autofahrern beispielsweise auch bei tiefstehender Sonne gut zu erkennen sind.","The system is fitted with coloured LEDs, which are bright enough that drivers can easily see the lights, even when the sun is low in the sky.",.,ok,,2,2,True,0.23702173399999538,8.438044757532822,2.0,0.0
E2D2 small_b2_s2_cache,16,"Und sparsam ist sie auch: Die älteren Lichtanlagen verbrauchen etwa 100 Watt, die neuen gerade mal acht Watt.","And they are also energy-efficient: The older light systems consume around 100 Watts, with the new ones consuming just eight.",.,ok,,2,2,True,0.19660406499997407,10.17272964320582,2.0,0.0
E2D2 small_b2_s2_cache,17,Pro Fahrtrichtung gibt es drei Lichtanlagen.,There are three sets of lights per direction of travel.,.,ok,,2,2,True,0.07628922399999283,26.216022331020014,2.0,0.0
E2D2 small_b2_s2_cache,18,Arnold erklärte die Technik der neuen Anlage: Diese ist mit zwei Radarsensoren ausgestattet.,Arnold explained the technology used by the new system: It is fitted with two radar sensors.,.,ok,,2,2,True,0.166672444000028,11.999584046416599,2.0,0.0
E2D2 small_b2_s2_cache,19,"Drückt der Fußgänger den Ampelknopf, testet der obere Radarsensor die Verkehrslage.","If the pedestrian presses the button at the traffic lights, the top radar sensor checks the traffic status.",.,ok,,2,2,True,0.16179304599995703,12.361470714881845,2.0,0.0
E2D2 small_b2_s2_cache,20,"Ist die Straße frei, kommt unmittelbar Grün für den Fußgänger, wenn nicht, dauert es etwa 15 Sekunden.","If the street is clear, the pedestrian obtains a green light immediately, if not, there is a delay of around 15 seconds.",.,ok,,2,2,True,0.1758496230000901,11.373353925239721,2.0,0.0
E2D2 small_b2_s2_cache,21,"Ein weiteres Radarsensor prüft, ob die Grünphase für den Fußgänger beendet werden kann.",An additional radar sensor checks whether the green phase for the pedestrian can be ended.,.,ok,,2,2,True,0.201124961000005,9.944066564666484,2.0,0.0
E2D2 small_b2_s2_cache,22,"""Sollte eine Gruppe oder gehbehinderte Menschen über die Straße gehen, wird die Grünphase verlängert, es kommt also jeder sicher über die Fahrbahn"", erklärte Arnold.","""If a group of people or if disabled persons are crossing the street, the green phase is extended, thus ensuring that everyone gets safely across the street,"" explained Arnold.",""".",ok,,2,2,True,0.15420164600004682,12.970030164265514,2.0,0.0
E2D2 small_b2_s2_cache,23,Natürlich müsse der Autofahrer hier als Partner mitdenken und die Fahrbahn beobachten.,"Of course, drivers must also play their part and keep their eyes on the road.",.,ok,,2,2,True,0.17420586499997626,11.480669723721832,2.0,0.0
E2D2 small_b2_s2_cache,24,"Dies war gestern nicht der Fall: Kaum zeigte die Ampel für Fußgänger grün, rauschte ein Oberklasse-Fahrzeug durch - bei leuchtendem Rot.",Yesterday this was not the case: The light had barely turned green for pedestrians when a luxury vehicle sped through on a red light.,.,ok,,2,2,True,0.15037223700005597,13.300327506594556,2.0,0.0
E2D2 small_b2_s2_cache,25,Josef Winkler schreibt sich seit mehr als 30 Jahren die Nöte seiner Kindheit und Jugend von der Seele.,"For more than 30 years, Josef Winkler has been writing from the heart, telling of the hardships of his childhood and youth.",.,ok,,2,2,True,0.1630251289999478,12.268047338889946,2.0,0.0
E2D2 small_b2_s2_cache,26,"Die Katastrophen seiner katholischen Dorfkindheit - die Sprachlosigkeit, der Hang zu roher Gewalt und stumpfer Sexualität, die Enge und Freudlosigkeit - hat der Kärntner Dichter vielfach beschrieben.","The catastrophes of his Catholic village upbringing - the speechlessness, his tendency towards brute force and dulled sexuality, the confinement and lack of joy - all of this has been described many times by the Kaernten-born poet.",.,ok,,2,2,True,0.21425966900005733,9.334467888118809,2.0,0.0
E2D2 small_b2_s2_cache,27,"Bekannt ist der Büchner-Preisträger vor allem als Prosaautor, Theatertexte sind in seinem Werk rar.","The Büchner prizewinner is known primarily as a writer of prose, with theatre texts something of a rarity for him.",.,ok,,2,2,True,0.12376053299999512,16.160240680282776,2.0,0.0
E2D2 small_b2_s2_cache,28,"Collage aus Prosatexten Gerhard Fresacher stellt für seine Aufführung ""Wetterleuchten auf der Zungenspitze"", die nun in der Garage X am Petersplatz zu sehen ist, daher eine Collage aus Prosatexten zusammen.","In a collage of prose texts For his performance piece, ""Wetterleuchten auf der Zungenspitze"" (Summer lightning on the tip of your tongue), which can now be seen in Garage X on Petersplatz, Gerhard Fresacher ,creates a collage of prose texts.",.,ok,,2,2,True,0.19799064999995153,10.101487115681925,2.0,0.0
E2D2 small_b2_s2_cache,29,"Der Theatermacher verbindet etwa Elemente aus dem autobiografisch geprägten Roman ""Der Leibeigene"" (1987) mit Prosaminiaturen aus ""Leichnam, seine Familie belauernd"" (2003).","The theatre producer has thus combined elements from the autobiographically inspired novel ""Der Leibeigene"" (1987) [The Bondsman] featuring prose miniatures from ""Leichnam, seine Familie belauernd"" (2003) [Corpse, stalking his family].",.,ok,,2,2,True,0.17225183699997615,11.610906651754762,2.0,0.0
